,,,,,,,,,,
,,,,,,,,,,
Please  Don't Destroy: The Treasure of Foggy  Mountain,2023,美国,喜剧,英语,中英双字,2023-11-17(美国网络),,,93分钟,保罗&middot;布里甘蒂  Paul Briganti
,,,,,,,,,,
,,,,,,,,,,
老狐狸,2023,中国台湾,剧情,普通话,中文,2023-10-27(东京国际电影节)/2023-11-24(中国台湾),,,112分钟,萧雅全  Ya-chuan Hsiao
Club  Zero,2023,奥地利/英国/德国/法国/丹麦/卡塔尔,剧情/喜剧/惊悚,英语/法语/汉语普通话,中文,2023-05-22(戛纳电影节)/2023-09-27(法国),,,110分钟,杰茜卡&middot;豪斯娜  Jessica Hausner
ベイビ�`わるきゅ�`れ  2ベイビ�`/Baby Assassins 2/Baby Assassins 2  Babies,2023,日本,剧情/动作,日语,中文,2023-03-24(日本),,,101分钟,阪元裕吾 Yugo  Sakamoto
The  Amazing  Maurice,2022,英国/德国/美国,喜剧/动画,国英双语,中文,2022-11-13(曼彻斯特动画节)/2022-12-16(英国),,,93分钟,托比&middot;格恩科尔  Toby Genkel
富都青年,2023,马来西亚,剧情,马来语/汉语普通话/粤语/英语/闽南语/手语,中文,2023-03-19(瑞士佛瑞堡影展)/2023-07-26(FIRST青年电影展)/2023-12-01(中国台湾),,,115分钟,王礼霖 Lay  Jin Ong
飞驰人生2,2024,中国大陆,剧情/喜剧/运动,普通话,中英双字,2024-02-10(中国大陆),,,121分钟,韩寒 Han  Han
,,,,,,,,,,
,,,,,,,,,,
シティ�`ハンタ�`/City  Hunter,2024,日本,喜剧/动作/爱情/悬疑/犯罪,日语,中文,2024-04-25(日本网络),,,102分钟,佐藤�v市  Y&ucirc;ichi Sat&ocirc;
Love  Lies  Bleeding,2024,英国/美国,爱情/惊悚/同性,英语,中英双字,2024-01-20(圣丹斯电影节)/2024-03-08(美国),,,104分钟,罗斯&middot;格拉斯  Rose Glass
Baghead,2023,美国,剧情/惊悚/恐怖,英语,中英双字,2023-12-28(德国),,,94分钟,阿尔贝托&middot;科雷多尔  Alberto Corredor
Accused/A  Night with the  Accused,2023,英国,惊悚,英语,中英双字,2023-09-22(英国),,,88分钟,菲利普&middot;巴兰蒂尼  Philip Barantini
,,,,,,,,,,
第二十条/正当防卫,2024,中国大陆,剧情/喜剧/家庭,汉语普通话/中国手语,中文,2024-02-10(中国大陆),,,141分钟,张艺谋  Yimou Zhang
Under  the Boardwalk/Jersey  Crabs,2023,美国/加拿大,喜剧/爱情/动画/歌舞/家庭/冒险,英语,中英双字,2023-10-27(美国),,,83分钟,大卫&middot;索伦 David  Soren
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Simple comme  Sylvain,2023,加拿大/法国,剧情/喜剧/爱情,法语,中文,2023-05-18(戛纳电影节)/2023-09-22(加拿大)/2023-11-08(法国),,,111分钟,莫妮亚&middot;肖克里  Monia Chokri
,,,,,,,,,,
,,,,,,,,,,
&#54028;&#47896;/Exhuma/The  Unearthed  Grave,2024,韩国,悬疑/惊悚/恐怖,韩语/日语/英语,中文,2024-02-16(柏林电影节)/2024-02-22(韩国),,,134分钟,张在现  Jae-hyun Jang
Late  Night with the  Devil,2023,澳大利亚/阿联酋,恐怖,英语,中英双字,2023-06-11(澳大利亚)/2024-04-19(美国网络),,,92分钟,卡梅伦&middot;凯恩斯  Cameron Cairnes
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Rebel  Moon: The Scargiver/Rebel Moon - Part Two: The Scargiver/Rebel Moon 2/Rebel Moon  Part  2,2024,美国,剧情/动作/科幻/奇幻/冒险,英语,中英双字,2024-04-19(美国网络),,,122分钟,扎克&middot;施奈德  Zack Snyder
The  Greatest Hits/David Fingerhut's Greatest  Hits,2024,美国,剧情/喜剧/爱情/歌舞/奇幻,英语,中英双字,2024-03-14(西南偏南电影节)/2024-04-05(美国)/2024-04-12(美国网络),,,94分钟,内德&middot;本森 Ned  Benson
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Immaculate,2024,意大利/美国,恐怖,英语,中英双字,2024-03-12(西南偏南电影节)/2024-03-22(美国),,,89分钟,迈克尔&middot;莫汉  Michael Mohan
