卢锡铃,2024-06-24,五菱星光 2024款 共创版·纯电 510km 进阶版,4.00,10.68,400km,2024-06,我买这车之前从海鸥看到驱逐舰再看到五菱星光的混动，最近还是订了五菱星光纯电版。海鸥的空间确实不太合适家用的单一车，之前还考虑过比亚迪的驱逐舰05，不过混动劝退了我，我混进过一个驱逐舰的群，里面大多数的群友日常都用电开车，我担心我也会这样，而且比亚迪的混动我担心失速问题会发生在我身上。最后还是买了五菱星光的纯电版，原因如下：第一个事纯电的用车成本很便宜，大头应该就是个保险。第二，五菱星光够大，足够家用。第三，操控不错，开着很舒服。以上这三点就是我选择五菱星光的原因。仅供各位参考。 我买这车开着大概半个月了。接下来说说我的实际感受。 第一呢，开着确实很爽，加
陈丫丫的星光,2024-06-27,五菱星光 2024款 共创版·插混 1.5L 150km 进阶型,4.57,9.7,,2024-06,购车经历 去年年底就开始有购车想法，在网上开始看车。一开始我就确定了自己要买混动车，因为武汉市区非常堵，用电车非常划算，但是纯电对于我一个回家有400公里的人又有里程焦虑，所以考虑混动。一开始因为颜值和身边有朋友购买，特别喜欢领克06，但是领克06纯油，油耗也高。后面出来的06emp 价格需要15万多，超预算，性价比低，果断放弃。 年初开始关注到五菱星光，颜值很喜欢，价格也非常实惠，很心动。半年期间试驾里同价位的吉利银河l6和比亚迪秦，对比下来，银河l6 的怀档不是很喜欢，而且没什么机械按钮，基本全靠车机实现，这一点也不喜欢，空间也没有星光大，差不多的续
愉快的风信子2726,2024-06-01,五菱星光 2024款 共创版·纯电 510km 进阶版,4.29,11.98,,2024-05,今年打算6月份买车的，老婆给了15个的标准，一开始在比亚迪元PLUS/up，零跑C10，大众id3，长安启源A07里选，在网上看外观看内饰，比参数配置，看网上测评和车主的点评，最后选择去试驾零跑和比亚迪元的车，之前就一直有在看星光，但是只有插混，所以没考虑，还好，有个朋友点了一句，没想到5月份上市了纯电版。 首先呢，纯电的前脸改成了封闭式，我觉得颜值高了不少，外观设计的还不错，整车车身的流线型也可以，就是后面凹进去了一点，觉得有些丑，底盘调教舒适，前双叉臂后E连杆，开起来也还OK，车内空间大，后备箱容量大，方向盘手感舒适，座椅舒服。我选车就是看中舒适
静静的来静静的走,2024-05-20,五菱星光 2023款 1.5L 150km 进阶版,4.21,10.58,4.2L/100km,2024-03,🚗购车理由：作为年轻人上班的第一台车，预算只有10万左右能买什么车呢？在对比比亚迪秦，长安起源等车型，我觉得看完这个预算内的车之后，感觉只有五菱星光还算是一个能看得过去眼的，除了颜值好看之外，最主要是它还不烂大街，明明价格不贵，但就是营造一种这个车不便宜的感觉，并且在这个价位给的悬挂以及空间，家用真的yyds，还有就是降价过后，高配的价格直接来到了自己的心里价位，相比于普通版70km，我觉得150km版本对于日常通勤的压力更小，只要不出远门，基本市区想去哪里就去哪里，关键只要10万左右就可以拿下，让我看车两天就去下定。 🚗空间方面：整个车等空间还是比
戴月的海豚2692,2024-04-17,五菱星光 2023款 1.5L 150km 进阶版,4.21,9.28,2.8L/100km,2024-01,😁购车经历： 我是一名颜值党，买车就想买个比较有气派的车子，虽然预算不高，但是也要选个满意的！试驾了长安启源A05、风云A8和五菱星光，更喜欢五菱星光的外观设计，具备鲜明个性，看着让人眼前一亮。而且五菱品牌还是比较有实力的车型，布局合理，有着宽敞的内部空间，并且在价格方面具有明显的竞争优势，所以我就买了。 【提车价钱】 五菱星光它的价格相对来说还是比较亲民的，在同级别车型中有一定的优势。对于我这种上班族来说购买它感觉相当实惠。五菱星光优惠1.3W实际裸车9.28万，没购置税，只有一个保险3900，落地，9.78W左右。在同级别车型中，价格有优势。所以我
洛青雨,2024-04-11,五菱星光 2023款 1.5L 150km 进阶版,4.43,9.98,1.3L/100km,2024-02,【提车价格】: 2月份刚降价就去4S店提车去了，高配版降价6000，只要99800，我买的保险4200多，现在应该还会更低，有些地方还有各种补贴，买车的时候送了行车记录仪，送了车辆地垫还有一个充电桩，非常适合入手😍 【车辆空间】:虽然是轿车，但是车内空间非常大，我1米8开车也非常舒适，驾驶座椅可以前后上下电动调节，轴距2.8米，后排空间也非常宽敞，正常坐跟前面座椅的距离也是够的，我1.8米看我的图片前面还有一拳多的距离，不会显得拥挤，车辆后备箱虽然不是很高，但是很深，总的容量非常大。 【充电跟续航】:买车
流星赶月雨滴2617,2024-04-02,五菱星光 2023款 1.5L 150km 进阶版,4.79,9.9,3.5L/100km,2024-03,1️⃣购车经历：因为搬家到很远的地方，觉得车子比较刚需，所以一冲动第二天起了个大早就去了4s店。很喜欢五菱星光的外形，刚好又碰见一个很实在的销售，价格也合适，聊的很顺利当天就定了，可惜当时黑色没有现车（真的很紧俏！谁懂）销售建议我如果想早提车可以看看紫色，纠结了一下去看了实车，真的很爱！！ 2️⃣提车价格：裸车价9.98万，因为当时价格已经降过一次6000，所以只能多要了一些赠品。充电桩、行车记录仪、脚垫、抱枕、方向盘套。保险第一年是4500。 3️⃣油耗表现：日常通勤不怎么用油，电费很便宜。偶尔用油油耗显示1.8-2.3左右。提车这一个月跑了一次小
节能环保椰子4561,2024-07-04,五菱星光 2024款 共创版·插混 1.5L 150km 进阶型,4.14,9.9,,2024-06,［产品定位方面］ 五菱星光在产品定位上非常精准地抓住了年轻人的需求，这个年龄段的消费者往往追求个性、时尚和创新，而五菱星光凭借其独特的设计风格和丰富的配置，成功地吸引了他们的注意力。 ［性能表现方面］ 五菱星光具备节能环保的特点，拥有高时速，加速仅需4.5秒的性能表现，满足年轻人在驾驶过程中的激情与快感。还具备智能驾驶辅助系统，让驾驶变得更加轻松便捷。 ［外观设计方面］ 外观设计简洁大方，线条流畅，前脸采用了镀铬装饰条，提升了整车的档次感。车身线条流畅，造型美观，尾部设计饱满，给人一种稳重可靠的感觉。 ［内饰设计方面］ 内饰设计简洁实用，营造出舒适的驾乘
盖世的小鲨2917,2024-06-24,五菱星光 2024款 共创版·插混 1.5L 150km 领航型,4.79,10.28,4L/100km,2024-05,省油，空间大。
愉快的雪梨4818,2024-07-03,五菱星光 2023款 1.5L 150km 进阶版,4.71,9.98,,2024-06,上上周日交钱，上周六提车，车牌车膜等销售小姐姐都给办好了，我超省心。作为颜狗党，颜值即正义，这是选择星光的重要原因之一，另外一个原因就是感觉相同价位星光配置性价比较高。提车当天下小雨，第一次开自动挡还有点不适应小心翼翼开回家，车有一丢丢脏。第二天大清早开到海边人少的停车场折腾两三个小时把为它配备的小玩意都装上了，车美美的心情也美美的。回家路上又给洗个澡，亮晶晶超漂亮！结果第二天就又下雨一直下了好几天😂还给加满了油，粮草充足心不慌。 作为新手小白，新车好多不懂。咨询了五菱汽车企业微号“菱号玩家-小星菱”，得到了事无巨细非常耐心详细的解答，非常暖心非常感谢
盖世的大枣3427,2024-07-02,五菱星光 2024款 共创版·插混 1.5L 150km 领航型,4.79,10.28,3.8L/100km,2024-06,新车外观大气且实用，尤其是尾灯刹车灯耀眼，能够给后车很直观提醒，防止后车的追尾的可能性很大降低。因为我是新手，所以选择领航版，电子辅助系统也给我带来极好的驾驶体验。缺点就是领航版是新车型，没有价格上的优惠，与23版价格相差近万元。如果您是老司机23版极合适，但新手和女生还是选择领航版更好一些。车内空间很宽敞，尤其是是后备箱放置行李箱24寸能放下两个，还有很大富裕。车底盘原车有装甲，可以要求4S店再喷一遍全底，这样能最大限度的缓解冬季除雪剂对车底盘的腐蚀。车子有五个颜色可以选择，外观上白色比较显大一些，而阳光下幕紫显得有内涵，黑色比较小巧一些，但更显得有档
晦迹韬光花生3720,2024-07-01,五菱星光 2023款 1.5L 150km 进阶版,4.50,10.5,3.9L/100km,2023-12,2023年11月，关注到五菱星光上市了，第一眼就被那亮眼的外观吸引住了，从各种平台关注了一段时间，也进行了对比，发现这个价位和配置非常符合我的要求，看了看测评，能耗也很满意，轴距2800，空间也大。当时纠结颜色，一开始觉得黑色好，后来发现主打的紫色也好看，偶然间发现灰色更上档次，本想定灰色，在泰安市试驾了一下，但是要等很久，就跑到济南定的车，到济南发现灰色实车没有想象中的出色，最终还是定的主打色星瀚紫。 12月底车到了，很兴奋的去提车，送了脚垫，贴膜没要，自己找地方贴的。回家后洗干净车，真的是360度无死角的喜欢😍，车辆的很
晦迹韬光海棠3294,2024-06-29,五菱星光 2024款 共创版·插混 1.5L 70km 标准型,4.93,7.88,,2024-05,最满意 满意的点还是非常的多，比如价格实惠，性价比高，外观看着高档大气上档次，空间大，油耗低等等，这些综合原因一归纳下来，真的不买它不行啊，优势太大了，但是要说最满意的，我觉得还是它的外观吧，修长的车身加上车头孔状结构的进气格栅，不仅看着运动感十足，而且更显得高端大气，配合黑色的车漆，逼格直接拉满了。越看越喜欢。经常在市区行驶，用了电以后就不想用油了，真香。 最不满意 第二排座椅偏短短，个子高就不太好坐，车内没有后备箱开启按键 空间 空间也不赖，我1.75的身高，算是家里最高的了，所以以我作为参考是最合适的，车内每个位置我坐进去都不会拥挤，显得很宽敞，前
车手58679687US,2024-06-28,五菱星光 2023款 1.5L 150km 进阶版,4.64,9.88,,2024-02,提车已经第五个月了，不看官方油耗，也不看表显，按实际里程分享一下真实油耗。目前跑了8000多公里，有一半是高速里程，主要是在城市周边跑，高速一般定速巡航120，国道60到90，空调基本上没有关过。 前段时间升级了混动里程表，4S店出来就清空了小计里程做了个小测试，高速60km，国道100km，其中混动里程为63km。 由此看来，五菱是把发动机实际运转的里程作为混动里程，并没有简单粗暴的做成开启混动模式就计算为混动里程，五菱作为第一次生产混动车的企业，还是相当用心的啦，改进速度也是很值得称赞！ 绝大部分充电都是在电网充电站，电费977元，加油我另外做了累计
夏醉浅梦zb1,2024-06-26,五菱星光 2023款 1.5L 150km 进阶版,5.00,9.58,4.5L/100km,2024-05,在性价比方面，我认为这个价格是非常值得的，对于那些注重实用和经济实惠的用户来说，这款车是一个不错的选择
荔枝水母,2024-06-26,五菱星光 2023款 1.5L 70km 标准版,4.29,7.98,4.5L/100km,2024-05,首先，五菱汽车的销售服务从进店咨询到提车，销售人员都表现出极高的专业素养，给我提供了详细的产品介绍和贴心的购车建议。整个购车过程非常顺利，让我对五菱汽车有了比较好的印象。 在提车价格方面，五菱星光2023年70共创版的性价比非常高。相比同级别的其他车型，它的价格更加亲民，让我这种普通消费者也能够轻松拿下。 驾驶感受方面的话，方向盘比较轻，转向精准，驾驶起来得心应手。虽然动力算不上强劲，但满足日常家用已经够了。另外，车辆的悬挂系统表现良好，即使在复杂路况下，依然能够保持稳定的行驶状态。 乘坐感受方面，车内空间宽敞，座椅舒适度较高，即使长时间乘坐也不会感到疲
大圣车手01267442,2024-06-23,五菱星光 2023款 1.5L 150km 进阶版,4.50,9.98,4.2L/100km,2024-04,【最满意】最满意的就是这大气的外观车身，加上混插的动力，平时上下班几乎不用加油，充电使用非常的方便。 【最不满意】不满意的就是纯电的续航有点不够，哈哈哈 【驾驶感受】这台车的起步很快，毕竟混动的，之前开些比较肉的车起步的时候会明显感受到转速上去了但是车就是不动，星光的话基本一踩油门就启动了，整体反应也很迅速。还有星光的底盘调教相对来说比较舒适，不会太硬，无论是直行还是过弯开起来都是很丝滑的。 【空间表现】整车的空间是很大的，基本是B级车的大小了，毕竟轴距达到2.8米，前座正常调整座位后，后排人坐进去腿部基本有2~3拳的距离，头部也有很宽
巧1797,2024-06-21,五菱星光 2024款 共创版·插混 1.5L 150km 进阶型,5.00,10.58,,2023-12,买五菱星光也有大半年了，来谈谈我的用车心得吧！ 满意的地方，节油、节油、节油，做为一款插混真的比传统燃油车省钱多了，之前开油车上下班一个月的没费大概在600多左右，现在我的费用是在200以内。 现在车子的设计真的进步好很多，操控的智能化都比之前B级燃油车更高级，他的外观设计经过半年时间的洗礼，还是很喜欢，目前保养过一次没有收费，在操使用操控上面都正常，没有什么小毛病，喜欢的朋友可以冲，靠谱。 最不满意的地方——降价了。难过！我买的时候可是按官方指导价一毛都没有给优惠买的。
追风逐电蓝莓2657,2024-06-17,五菱星光 2024款 共创版·纯电 510km 进阶版,5.00,,,,今天去4s店体验了一把五菱星光纯电版，空间还是蛮惊喜的，尤其是后备箱，感觉躺下一个我都是完全没有问题的 中控台也是比较喜欢的，个人感觉比较简洁，驾驶感觉不错，提速也很快，比较喜欢那个360度影像，女司机的福音 整体开起来非常的平顺，在车子过一些井盖的时候体现出地盘真的很软，不会很颠簸，舒适型非常好，刚开始播放音乐，整车的一个静音型也是非常好的，四个轮胎中都有静音棉，包括前机盖里面都有静音棉的填充，感觉各项功能都很贴心，整体感觉五菱星光这款车性价比还是挺高的，很值得推荐， 销售还介绍了一下五菱这款车采用的是自主研发的一款神炼电池，经过各项标准严苛测试 五
飞牛车手00744239,2024-06-16,五菱星光 2024款 共创版·插混 1.5L 70km 标准型,5.00,,,,我最满意的肯定就是它的外观，当时第一眼就被它的外观吸引住了，时尚前卫还有满满的科技感，尤其是它这个俯冲式的车头加上大溜背，一下子感觉提高了很多档次，不知道的还以为是二十多的车呢。这个车特点就是空间大，2.8米的轴距B级车的空间.
