Car Title,Price,Licheng,Shijian,Leixing,Area,Guobiao
高尔夫 2023款 改款 280TSI DSG R-Line,¥11.88,1.68万公里,2023年01月,自动 / 1.4L,郑州,国VI
ID.4 CROZZ 2022款 长续航PRO版,¥13.98,1.38万公里,2023年12月,自动 / 0L,郑州,-
途昂 2017款 380TSI 四驱豪华版,¥12.38,7.5万公里,2018年02月,自动 / 2L,郑州,国V
迈腾 2023款 200万辆纪念版 280TSI DSG舒适型,¥13.25,0.01万公里,2024年09月,自动 / 1.4L,郑州,国VI
高尔夫GTI 2018款 2.0TSI GTI,¥9.28,9.5万公里,2018年02月,自动 / 2L,郑州,国V
甲壳虫 2013款 1.2TSI 时尚型,¥5.50,7.8万公里,2013年09月,自动 / 1.2L,郑州,欧V
途锐 2017款 3.0TSI 拓野型,¥17.80,12.5万公里,2017年05月,自动 / 3L,郑州,国V
迈特威 2012款 2.0TSI 两驱豪华版,,12.4万公里,,,,
高尔夫 2021款 280TSI DSG Pro 首发版,¥9.90,1.1万公里,2021年02月,自动 / 1.4L,郑州,国VI
朗行 2017款 1.6L 自动风尚版,¥3.98,6.6万公里,2017年08月,自动 / 1.6L,郑州,国V
桑塔纳 2015款 浩纳 1.6L 手动风尚型,¥2.58,7万公里,2017年07月,手动 / 1.6L,郑州,国IV(国V)
速腾 2014款 1.4TSI 自动旗舰版,¥3.00,10万公里,2014年01月,自动 / 1.4L,郑州,国IV+OBD
