日期,星期,最低温度,最高温度,天气,风向,风力
2025-03-01,星期六,-13℃,-6℃,多云,东北风,4级
2025-03-02,星期日,-17℃,-7℃,晴,北风,2级
2025-03-03,星期一,-16℃,-4℃,多云,西北风,2级
2025-03-04,星期二,-11℃,-3℃,雾,东风,2级
2025-03-05,星期三,-7℃,0℃,多云,北风,3级
2025-03-06,星期四,-9℃,0℃,晴,北风,3级
2025-03-07,星期五,-8℃,2℃,多云,东风,3级
2025-03-08,星期六,-6℃,1℃,阴,北风,3级
2025-03-09,星期日,-4℃,9℃,晴,南风,5级
2025-03-10,星期一,5℃,15℃,晴,西南风,6级
2025-03-11,星期二,0℃,12℃,小雨,南风,5级
2025-03-12,星期三,-3℃,8℃,小雨,南风,5级
2025-03-13,星期四,-7℃,1℃,多云,西北风,4级
2025-03-14,星期五,-9℃,1℃,晴,东北风,2级
2025-03-15,星期六,-7℃,0℃,晴,西南风,1级
2025-03-16,星期日,-8℃,-0℃,晴,东北风,2级
2025-03-17,星期一,-7℃,-1℃,多云,北风,3级
2025-03-18,星期二,-6℃,0℃,多云,西北风,3级
2025-03-19,星期三,-3℃,8℃,多云,西南风,4级
2025-03-20,星期四,1℃,11℃,轻度雾霾,西北风,3级
2025-03-21,星期五,2℃,12℃,阴,北风,4级
2025-03-22,星期六,-2℃,6℃,多云,北风,4级
2025-03-23,星期日,-3℃,12℃,多云,南风,4级
2025-03-24,星期一,0℃,10℃,多云,西北风,5级
2025-03-25,星期二,-5℃,4℃,阴,东北风,4级
2025-03-26,星期三,-3℃,7℃,小雪,东南风,4级
2025-03-27,星期四,-3℃,1℃,小雪,北风,4级
2025-03-28,星期五,-7℃,0℃,多云,西北风,3级
2025-03-29,星期六,-6℃,-1℃,多云,北风,4级
2025-03-30,星期日,-5℃,4℃,阴,南风,3级
2025-03-31,星期一,-2℃,8℃,多云,西南风,3级
2025-03-01,星期六,-13℃,-6℃,多云,东北风,4级
2025-03-02,星期日,-17℃,-7℃,晴,北风,2级
2025-03-03,星期一,-16℃,-4℃,多云,西北风,2级
2025-03-04,星期二,-11℃,-3℃,雾,东风,2级
2025-03-05,星期三,-7℃,0℃,多云,北风,3级
2025-03-06,星期四,-9℃,0℃,晴,北风,3级
2025-03-07,星期五,-8℃,2℃,多云,东风,3级
2025-03-08,星期六,-6℃,1℃,阴,北风,3级
2025-03-09,星期日,-4℃,9℃,晴,南风,5级
2025-03-10,星期一,5℃,15℃,晴,西南风,6级
2025-04-01,星期二,2℃,11℃,小雨,南风,4级
2025-04-02,星期三,2℃,9℃,雾,东南风,2级
2025-04-03,星期四,1℃,14℃,晴,东南风,3级
2025-04-04,星期五,4℃,16℃,阴,南风,4级
2025-04-05,星期六,4℃,10℃,小雨,南风,3级
2025-04-06,星期日,4℃,12℃,多云,南风,2级
2025-04-07,星期一,4℃,16℃,阴,东南风,3级
2025-04-08,星期二,6℃,17℃,多云,西风,3级
2025-04-09,星期三,10℃,20℃,多云,西南风,4级
2025-04-10,星期四,9℃,21℃,中度雾霾,西南风,5级
